Label (Grouping),United States!!Estimate
EMPLOYMENT STATUS,
    Population 16 years and over,"243,832,923"
    In labor force,"156,966,769"
        Civilian labor force,"155,917,013"
            Employed,"139,033,928"
            Unemployed,"16,883,085"
        Armed Forces,"1,049,756"
    Not in labor force,"86,866,154"
    Civilian labor force,"155,917,013"
    Percent Unemployed,(X)
    Females 16 years and over,"125,271,788"
    In labor force,"74,230,659"
        Civilian labor force,"74,076,342"
            Employed,"66,658,487"
    Own children under 6 years,"23,329,156"
    All parents in family in labor force,"15,073,513"
    Own children 6 to 17 years,"47,251,112"
    All parents in family in labor force,"33,676,384"
COMMUTING TO WORK,
    Workers 16 years and over,"136,941,010"
"    Car, truck, or van -- drove alone","104,857,517"
"    Car, truck, or van -- carpooled","13,266,356"
    Public transportation (excluding taxicab),"6,768,661"
    Walked,"3,797,048"
    Other means,"2,327,228"
    Worked at home,"5,924,200"
    Mean travel time to work (minutes),25.3
OCCUPATION,
    Civilian employed population 16 years and over,"139,033,928"
"    Management, business, science, and arts occupations","49,975,620"
    Service occupations,"25,059,153"
    Sales and office occupations,"34,711,455"
"    Natural resources, construction, and maintenance occupations","12,697,304"
"    Production, transportation, and material moving occupations","16,590,396"
INDUSTRY,
    Civilian employed population 16 years and over,"139,033,928"
"    Agriculture, forestry, fishing and hunting, and mining","2,646,975"
    Construction,"8,686,813"
    Manufacturing,"14,439,691"
    Wholesale trade,"3,941,066"
    Retail trade,"16,203,408"
"    Transportation and warehousing, and utilities","6,843,579"
    Information,"3,015,521"
"    Finance and insurance, and real estate and rental and leasing","9,275,465"
"    Professional, scientific, and management, and administrative and waste management services","14,710,089"
"    Educational services, and health care and social assistance","32,311,107"
"    Arts, entertainment, and recreation, and accommodation and food services","12,859,572"
"    Other services, except public administration","6,913,449"
    Public administration,"7,187,193"
CLASS OF WORKER,
    Civilian employed population 16 years and over,"139,033,928"
    Private wage and salary workers,"108,824,975"
    Government workers,"21,291,233"
    Self-employed in own not incorporated business workers,"8,740,557"
    Unpaid family workers,"177,163"
INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS),
    Total households,"114,567,419"
"    Less than $10,000","8,757,190"
"    $10,000 to $14,999","6,668,865"
"    $15,000 to $24,999","13,165,380"
"    $25,000 to $34,999","12,323,322"
"    $35,000 to $49,999","16,312,385"
"    $50,000 to $74,999","20,940,859"
"    $75,000 to $99,999","13,526,500"
"    $100,000 to $149,999","13,544,839"
"    $150,000 to $199,999","4,809,998"
"    $200,000 or more","4,518,081"
    Median household income (dollars),"50,046"
    Mean household income (dollars),"68,259"
    With earnings,"89,685,526"
        Mean earnings (dollars),"69,506"
    With Social Security,"32,565,384"
        Mean Social Security income (dollars),"16,236"
    With retirement income,"19,996,596"
        Mean retirement income (dollars),"22,006"
    With Supplemental Security Income,"5,897,142"
        Mean Supplemental Security Income (dollars),"8,775"
    With cash public assistance income,"3,276,261"
        Mean cash public assistance income (dollars),"3,936"
    With Food Stamp/SNAP benefits in the past 12 months,"13,608,177"
    Families,"76,089,045"
"    Less than $10,000","3,824,251"
"    $10,000 to $14,999","2,660,781"
"    $15,000 to $24,999","6,770,812"
"    $25,000 to $34,999","7,332,318"
"    $35,000 to $49,999","10,578,051"
"    $50,000 to $74,999","14,990,631"
"    $75,000 to $99,999","10,638,931"
"    $100,000 to $149,999","11,261,766"
"    $150,000 to $199,999","4,130,868"
"    $200,000 or more","3,900,636"
    Median family income (dollars),"60,609"
    Mean family income (dollars),"79,338"
    Per capita income (dollars),"26,059"
    Nonfamily households,"38,478,374"
    Median nonfamily income (dollars),"30,440"
    Mean nonfamily income (dollars),"43,469"
    Median earnings for workers (dollars),"28,899"
"    Median earnings for male full-time, year-round workers (dollars)","46,500"
"    Median earnings for female full-time, year-round workers (dollars)","36,551"
HEALTH INSURANCE COVERAGE,
    Civilian noninstitutionalized population,"304,287,836"
    With health insurance coverage,"257,079,614"
        With private health insurance,"200,268,544"
        With public coverage,"90,375,059"
    No health insurance coverage,"47,208,222"
    Civilian noninstitutionalized population under 18 years,"74,017,524"
    No health insurance coverage,"5,918,388"
    Civilian noninstitutionalized population 18 to 64 years,"191,138,060"
    In labor force:,"147,410,050"
        Employed:,"131,727,379"
            With health insurance coverage,"108,071,654"
                With private health insurance,"102,286,772"
                With public coverage,"8,341,586"
            No health insurance coverage,"23,655,725"
        Unemployed:,"15,682,671"
            With health insurance coverage,"8,205,874"
                With private health insurance,"5,389,123"
                With public coverage,"3,159,846"
            No health insurance coverage,"7,476,797"
    Not in labor force:,"43,728,010"
        With health insurance coverage,"33,957,802"
            With private health insurance,"22,393,255"
            With public coverage,"14,397,063"
        No health insurance coverage,"9,770,208"
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,
    All families,(X)
        With related children under 18 years,(X)
            With related children under 5 years only,(X)
    Married couple families,(X)
        With related children under 18 years,(X)
            With related children under 5 years only,(X)
"    Families with female householder, no husband present",(X)
        With related children under 18 years,(X)
            With related children under 5 years only,(X)
    All people,(X)
    Under 18 years,(X)
        Related children under 18 years,(X)
            Related children under 5 years,(X)
            Related children 5 to 17 years,(X)
    18 years and over,(X)
        18 to 64 years,(X)
        65 years and over,(X)
    People in families,(X)
    Unrelated individuals 15 years and over,(X)
